__time,/forward_effort_controller/commands/data.0,/forward_effort_controller/commands/data.1,/forward_effort_controller/commands/data.2,/forward_effort_controller/commands/layout/data_offset,/joint_states/header/stamp,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/joint_states/joint2/effort,/joint_states/joint2/position,/joint_states/joint2/velocity,/joint_states/joint3/effort,/joint_states/joint3/position,/joint_states/joint3/velocity,/reference_joint/commands/data.0,/reference_joint/commands/data.1,/reference_joint/commands/data.2,/reference_joint/commands/layout/data_offset
1670040246.190639,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.190671,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.200804,,,,,3549.014000,0.059055,1.999874,-0.000415,-0.089578,1.499894,-0.000917,50.000000,2.100001,-0.002018,,,,
1670040246.200897,,,,,3549.014000,0.059055,1.999874,-0.000415,-0.089578,1.499894,-0.000917,50.000000,2.100001,-0.002018,,,,
1670040246.201441,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.201508,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.210203,,,,,3549.024000,-0.116451,1.999881,0.003468,0.044171,1.499869,0.000104,50.000000,2.100016,-0.001564,,,,
1670040246.210300,,,,,3549.024000,-0.116451,1.999881,0.003468,0.044171,1.499869,0.000104,50.000000,2.100016,-0.001564,,,,
1670040246.210657,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.210705,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.220030,,,,,3549.034000,0.019982,1.999881,-0.001234,0.037379,1.499880,0.000508,50.000000,2.100000,-0.001757,,,,
1670040246.220111,,,,,3549.034000,0.019982,1.999881,-0.001234,0.037379,1.499880,0.000508,50.000000,2.100000,-0.001757,,,,
1670040246.220368,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.220393,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.229919,,,,,3549.044000,-0.096883,1.999886,0.002076,0.002881,1.499866,0.001853,50.000000,2.100012,-0.001415,,,,
1670040246.229997,,,,,3549.044000,-0.096883,1.999886,0.002076,0.002881,1.499866,0.001853,50.000000,2.100012,-0.001415,,,,
1670040246.230201,0.061159,-0.200628,81.029808,0.000000,,,,,,,,,,,,,,
1670040246.230239,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.230251,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.231013,0.029219,-0.217865,81.109862,0.000000,,,,,,,,,,,,,,
1670040246.239062,,,,,3549.054000,0.044154,1.999878,-0.001486,-0.011797,1.499882,0.000537,50.000000,2.100000,-0.001672,,,,
1670040246.239118,,,,,3549.054000,0.044154,1.999878,-0.001486,-0.011797,1.499882,0.000537,50.000000,2.100000,-0.001672,,,,
1670040246.239268,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.239286,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.248549,,,,,3549.064000,-0.055417,1.999886,0.001508,-0.058174,1.499865,0.001353,50.000000,2.100010,-0.001540,,,,
1670040246.248610,,,,,3549.064000,-0.055417,1.999886,0.001508,-0.058174,1.499865,0.001353,50.000000,2.100010,-0.001540,,,,
1670040246.248803,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.248821,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.258482,,,,,3549.074000,0.051875,1.999857,-0.023281,-0.012866,1.499904,0.032982,50.000000,2.100080,0.059785,,,,
1670040246.258538,,,,,3549.074000,0.051875,1.999857,-0.023281,-0.012866,1.499904,0.032982,50.000000,2.100080,0.059785,,,,
1670040246.258791,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.258843,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.268855,,,,,3549.084000,-0.038414,1.999892,0.001073,-0.040612,1.499847,0.000678,50.000000,2.100007,-0.001696,,,,
1670040246.268934,,,,,3549.084000,-0.038414,1.999892,0.001073,-0.040612,1.499847,0.000678,50.000000,2.100007,-0.001696,,,,
1670040246.268980,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.269011,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.278903,,,,,3549.094000,0.707021,1.999935,0.013639,-1.149582,1.499742,-0.029258,50.000000,2.100062,-0.013818,,,,
1670040246.279104,,,,,3549.094000,0.707021,1.999935,0.013639,-1.149582,1.499742,-0.029258,50.000000,2.100062,-0.013818,,,,
1670040246.279348,-0.116451,0.044171,81.070405,0.000000,,,,,,,,,,,,,,
1670040246.279413,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.279454,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.279986,0.019982,0.037379,81.070568,0.000000,,,,,,,,,,,,,,
1670040246.288339,,,,,3549.104000,-0.025725,2.000064,0.008431,-0.016099,1.499515,-0.017247,50.000000,2.100006,-0.003515,,,,
1670040246.288401,,,,,3549.104000,-0.025725,2.000064,0.008431,-0.016099,1.499515,-0.017247,50.000000,2.100006,-0.003515,,,,
1670040246.288688,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.288740,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.298449,,,,,3549.114000,-0.405268,2.000076,0.005039,1.036892,1.499429,-0.016994,50.000000,2.100039,-0.007677,,,,
1670040246.298529,,,,,3549.114000,-0.405268,2.000076,0.005039,1.036892,1.499429,-0.016994,50.000000,2.100039,-0.007677,,,,
1670040246.298608,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.298638,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.309042,,,,,3549.124000,-0.256755,2.000093,-0.002201,0.627881,1.499434,0.006555,50.000000,2.100003,-0.000859,,,,
1670040246.309114,,,,,3549.124000,-0.256755,2.000093,-0.002201,0.627881,1.499434,0.006555,50.000000,2.100003,-0.000859,,,,
1670040246.309303,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.309324,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.318976,,,,,3549.134000,-0.155748,2.000039,-0.001033,0.623352,1.499534,0.006902,50.000000,2.100032,-0.003221,,,,
1670040246.319042,,,,,3549.134000,-0.155748,2.000039,-0.001033,0.623352,1.499534,0.006902,50.000000,2.100032,-0.003221,,,,
1670040246.319296,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.319329,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.329213,,,,,3549.144000,0.060465,2.000001,-0.005822,-0.201118,1.499665,0.012741,50.000000,2.100002,-0.001456,,,,
1670040246.329301,,,,,3549.144000,0.060465,2.000001,-0.005822,-0.201118,1.499665,0.012741,50.000000,2.100002,-0.001456,,,,
1670040246.329663,0.051875,-0.012866,81.058552,0.000000,,,,,,,,,,,,,,
1670040246.329716,0.051875,-0.012866,81.058552,0.000000,,,,,,,,,,,,,,
1670040246.329743,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.329771,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.339094,,,,,3549.154000,0.028634,1.999948,0.000727,-0.218270,1.499754,0.005020,50.000000,2.100025,-0.002630,,,,
1670040246.339199,,,,,3549.154000,0.028634,1.999948,0.000727,-0.218270,1.499754,0.005020,50.000000,2.100025,-0.002630,,,,
1670040246.339531,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.339597,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.349436,,,,,3549.164000,0.174584,1.999935,-0.001826,-0.429169,1.499814,0.002830,50.000000,2.100001,-0.001908,,,,
1670040246.349533,,,,,3549.164000,0.174584,1.999935,-0.001826,-0.429169,1.499814,0.002830,50.000000,2.100001,-0.001908,,,,
1670040246.349676,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.349750,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.359457,,,,,3549.174000,-0.018694,1.999928,0.004037,-0.163399,1.499811,-0.000988,50.000000,2.100020,-0.002063,,,,
1670040246.359511,,,,,3549.174000,-0.018694,1.999928,0.004037,-0.163399,1.499811,-0.000988,50.000000,2.100020,-0.002063,,,,
1670040246.359720,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.359742,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.369025,,,,,3549.184000,0.058654,1.999935,-0.000528,-0.089763,1.499817,-0.000802,50.000000,2.100001,-0.002018,,,,
1670040246.369083,,,,,3549.184000,0.058654,1.999935,-0.000528,-0.089763,1.499817,-0.000802,50.000000,2.100001,-0.002018,,,,
1670040246.369320,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.369337,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.378451,,,,,3549.194000,-0.116786,1.999940,0.003355,0.044029,1.499793,0.000218,50.000000,2.100016,-0.001563,,,,
1670040246.378502,,,,,3549.194000,-0.116786,1.999940,0.003355,0.044029,1.499793,0.000218,50.000000,2.100016,-0.001563,,,,
1670040246.378592,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.378612,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.388393,,,,,3549.204000,0.019729,1.999940,-0.001347,0.037226,1.499805,0.000619,50.000000,2.100000,-0.001757,,,,
1670040246.388455,,,,,3549.204000,0.019729,1.999940,-0.001347,0.037226,1.499805,0.000619,50.000000,2.100000,-0.001757,,,,
1670040246.388677,-0.155748,0.623352,81.265161,0.000000,,,,,,,,,,,,,,
1670040246.388716,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.388739,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.389085,0.060465,-0.201118,81.029800,0.000000,,,,,,,,,,,,,,
1670040246.398065,,,,,3549.214000,-0.097082,1.999943,0.001964,0.002730,1.499792,0.001962,50.000000,2.100012,-0.001414,,,,
1670040246.398144,,,,,3549.214000,-0.097082,1.999943,0.001964,0.002730,1.499792,0.001962,50.000000,2.100012,-0.001414,,,,
1670040246.398357,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.398378,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.407718,,,,,3549.224000,0.044027,1.999935,-0.001597,-0.011930,1.499808,0.000643,50.000000,2.100000,-0.001672,,,,
1670040246.407799,,,,,3549.224000,0.044027,1.999935,-0.001597,-0.011930,1.499808,0.000643,50.000000,2.100000,-0.001672,,,,
1670040246.408083,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.408145,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.417631,,,,,3549.234000,-0.055512,1.999941,0.001398,-0.058289,1.499793,0.001458,50.000000,2.100010,-0.001540,,,,
1670040246.417696,,,,,3549.234000,-0.055512,1.999941,0.001398,-0.058289,1.499793,0.001458,50.000000,2.100010,-0.001540,,,,
1670040246.417797,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.417815,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.426612,,,,,3549.244000,0.051836,1.999911,-0.023390,-0.012930,1.499833,0.033084,50.000000,2.100080,0.059786,,,,
1670040246.426645,,,,,3549.244000,0.051836,1.999911,-0.023390,-0.012930,1.499833,0.033084,50.000000,2.100080,0.059786,,,,
1670040246.426877,-0.018694,-0.163399,81.089786,0.000000,,,,,,,,,,,,,,
1670040246.426895,-0.018694,-0.163399,81.089786,0.000000,,,,,,,,,,,,,,
1670040246.426905,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.426914,,,,,,,,,,,,,,,2.000000,1.500000,3.000000,0.000000
1670040246.428318,0.058654,-0.089763,81.066669,0.000000,,,,,,,,,,,,,,
1670040246.428339,0.058654,-0.089763,81.066669,0.000000,,,,,,,,,,,,,,
1670040246.436674,,,,,3549.254000,-0.038431,1.999945,0.000965,-0.040662,1.499777,0.000778,50.000000,2.100007,-0.001696,,,,
